restaurant_name,review_id,review_text,review_rating,review_timestamp,reviewer_id,reviewer_total_reviews,reviewer_is_local_guide
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2xkSWN6ZFVXRU5WVWxGb01GSjFWM2Q2UmtWU05XYxAB,Đồ ăn ngon giá cả okay nhưng nhân viên chưa biết đưa lời khuyên cho kh hàng . Mình đi 2 người và ko biết lượng đồ ăn ntn là nhiều hay ít có hỏi qua nv order nhưng bạn ấy bảo là bát nhỏ v..v nên mình đã order quá nhiều so với sức ăn của 2 người . Hi vọng nhân viên biết đưa ra lời khuyên cho kh hàng để cải thiện dịch vụ,4,2026-02-07T08:40:20.254Z,user_24066,50,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT201c1EySlljekZRWVVsQ1NFdHNhekZHUm5NeE1HYxAB,"Nước chấm hơi ngọt quá không hợp gu người Bắc lắm. Thịt nướng thơm, mềm, đóng gói cẩn thận.",5,2026-01-29T12:02:49.133Z,user_30187,25,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25KRVduTjVkMUpUV2xSc2RFWkdNMFJWV1ROWmFuYxAB,"Đồ ăn ngon, nhân viên phục vụ chu đáo nhiệt tình. Điểm trừ là cuối tuần hơi đông nên phải chờ bàn hơi lâu.",4,2026-01-11T10:07:19.467Z,user_54599,90,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25obllqUktNMUZPWkhGb2MyVmZiRTVWWlhCd1oxRRAB,Mình không ăn tại cửa hàng mà mua về. Tôm mua về hấp ăn ngon tuyệt vời. Giá cũng khá cạnh tranh so với các cửa hàng hải sản khác.,5,2025-12-06T10:18:26.330Z,user_clone_83337,1,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25OQlJVMXJkMWN5WldGTGNGQnpkVkprU2toa2VsRRAB,"Đồ ăn ngon, nhân viên phục vụ chu đáo nhiệt tình. Điểm trừ là cuối tuần hơi đông nên phải chờ bàn hơi lâu.",5,2025-11-24T06:53:46.080Z,user_27948,33,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21aVU5YbElNM0ZmYkRab2RGbGpiMFpYYzNCWlRGRRAB,Khá OK. Nhân viên nhiệt tình,4,2025-11-22T16:18:38.565Z,user_57015,115,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT214bU5GWkhjRGxpTlRNNGMyOVVWRm96VVc5ZllYYxAB,"Không gian quán rộng rãi thoáng mát, view chụp ảnh khá đẹp. Món ăn lên nhanh nhưng sườn hơi dai một tí.",3,2025-11-16T11:20:24.885Z,user_73525,40,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21aclUwd3lPR3RQVDFkcUxXVkpSRjlpYlRoR2RVRRAB,"Không gian quán rộng rãi thoáng mát, view chụp ảnh khá đẹp. Món ăn lên nhanh nhưng sườn hơi dai một tí.",4,2025-11-12T11:32:34.226Z,user_90110,72,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2xNemRsUmhWRGxtZGtGRGVXWm9YMlJOUlRKaFZHYxAB,"Vị ăn tạm ổn, không có gì quá xuất sắc nhưng sạch sẽ. Sẽ quay lại nếu có dịp đi cùng gia đình.",4,2025-10-24T12:39:28.274Z,user_35109,9,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2t0bGVHUjZkVUYyTFZGRWQxSkZTbUpsWkUwd1owRRAB,"Vị ăn tạm ổn, không có gì quá xuất sắc nhưng sạch sẽ. Sẽ quay lại nếu có dịp đi cùng gia đình.",3,2025-09-17T13:31:15.384Z,user_32268,50,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2pKakxVcFdhV1JqVldwR1VrdE5TalZXT0hCclgwRRAB,Ngầu,5,2025-09-15T07:09:48.301Z,user_clone_34413,1,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2s5S05IcFlZbGhTTUhaWE9VSm5jaTFYVjJOdk5YYxAB,Rất tuyệt vời,5,2025-09-13T09:47:57.444Z,user_clone_31802,2,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tWaGNXUnBTbXRFV1dKSGIweFVTbUU0YURkcFlrRRAB,"Hải Sản ở đây đa dạng nhiều thứ,giá cũng hợp lý.
Mình vào được nv giới thiệu con bọ biển(lần đầu nghe). Chế biến nướng mọi thịt ngọt và thơm ra phết.",5,2025-09-13T09:08:42.215Z,user_38783,59,0
Hải sản Hùng Trường Sa,ChZDSUhNMG9nS0VJQ0FnSUN4LThYcUlBEAE,"Đồ ăn ngon tuyệt vời, đóng gói cẩn thận sạch sẽ, giao hàng siêu nhanh luôn á, sẽ ủng hộ tiếp.",5,2025-09-13T09:03:21.960Z,user_clone_11927,1,0
Hải sản Hùng Trường Sa,ChdDSUhNMG9nS0VJQ0FnSURweU1tODNnRRAB,Tuyệt vời 🩵,5,2025-09-13T09:01:44.381Z,user_64050,77,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT25kalYwMVZSR3h5TVhSMFJtdGtZVTFOUWtndGRuYxAB,"Đồ ăn tươi ngon, không gian rộng rãi",5,2025-09-13T08:59:12.006Z,user_clone_94661,2,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21oTmJHTnNNSEozYm1KclRXSXpZelZhTWpJemVFRRAB,Hải sản rất chất lượng và đa dạng,5,2025-09-13T08:54:46.078Z,user_88098,72,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21GWFYzVjVOakpoUjBGRlEzWjJhV1pqV0V0bFRGRRAB,"không gian nhà hàng rất đẹp, rộng rãi và có phòng riêng tư nữa, mình sẽ quay lại đây khi có dịp",5,2025-09-13T08:53:54.405Z,user_41934,19,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2pGVVkzRkJTVFZSY2paa1dEZG1WR3h1WjB4dExWRRAB,"Ăn buffet ở đây khá hời, nhiều món lựa chọn, hải sản tươi. Sẽ giới thiệu cho bạn bè.",4,2025-08-23T13:35:06.031Z,user_56962,83,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2xGR2VtdGtPRXRUTW1VMmNFUllVMmxZYXpsbVNIYxAB," Nằm ngay mặt đường Thái Hà, rất dễ tìm.
- Phục vụ nhanh, nhiệt tình.Món ăn ngon, chất lượng.",5,2025-08-09T14:11:41.931Z,user_84365,22,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tkdWFVTm5SVGcxZUVkME5uQnViWHBGWWxaWlRrRRAB,"Quán sạch sẽ đồ ăn ngon, shipper giao nhanh nhiệt tình, đóng gói rất kỹ, 10 điểm uy tín cả nhà ơi.",5,2025-08-05T09:52:06.024Z,user_clone_41012,2,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2w5S1h5MXZPRGRpTFdseE1WUk1iMUZGYWxkVGFtYxAB,Dịch vụ tốt. view đẹp. Đã đến 1 lần và sẽ đến tiếp.,5,2025-07-30T05:18:40.916Z,user_35455,55,1
Hải sản Hùng Trường Sa,ChZDSUhNMG9nS0VJQ0FnSURweU5tTVl3EAE,"Đồ ăn ngon, nhân viên nhiệt tình tư vấn món, không gian tạo cảm giác thoải mái",5,2025-07-30T05:15:58.794Z,user_35032,60,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21kb2NXMTROWGR6ZWxSWVlUaHhVRlZLTURkdkxVRRAB,"Vị ăn tạm ổn, không có gì quá xuất sắc nhưng sạch sẽ. Sẽ quay lại nếu có dịp đi cùng gia đình.",3,2025-07-29T12:08:01.910Z,user_29893,89,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2pWRVNubEdjSGxtVW1KS1RrOVBNMlE1U0hwNFEyYxAB,"Thái độ nhân viên hơi kém, gọi thêm đồ mà mãi không thấy mang lên. Được cái đồ ăn cứu vớt lại khá ngon.",5,2025-07-21T05:06:40.228Z,user_17023,17,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT21rdFprZFFRVnBVYWtKRmNWcGlWbmt6TkU1SE1GRRAB,Nhà hàng tuy ko khang trang đẹp đẽ mơ mộng nhưng đồ ăn thì quá chất,5,2025-07-09T02:26:37.053Z,user_89237,14,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2xoUk1tNHlPV1J5ZVd0UGIwazFVMGhKT1hrMVdFRRAB,"Không gian quán rộng rãi thoáng mát, view chụp ảnh khá đẹp. Món ăn lên nhanh nhưng sườn hơi dai một tí.",4,2025-07-05T14:32:48.000Z,user_61065,70,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2tNM1RtbFRRbGRtZDNGMFZ6WklabUpZWXpNME1uYxAB,"Ăn một lần rồi nhớ nãi, khủng khiếp",1,2025-06-21T12:49:18.380Z,user_38844,44,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2kxYU5UbFBWa3RSYVhkVmJXWlBZbGR3UzNKQ2FHYxAB,"Quá đắt, phục vụ lâu, không bao giờ quay lại",1,2025-06-19T15:08:50.713Z,user_93154,65,1
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT2s1QmJHUndVWE0yTmpWaU1YUlpWWEZrTWprM0xXYxAB,"Nước chấm hơi ngọt quá không hợp gu người Bắc lắm. Thịt nướng thơm, mềm, đóng gói cẩn thận.",4,2025-06-13T06:09:40.393Z,user_85682,9,0
Hải sản Hùng Trường Sa,Ci9DQUlRQUNvZENodHljRjlvT205V09IUXdUR1pJT0VodU9WbHBXazltZG05d1UwRRAB,"Thái độ nhân viên hơi kém, gọi thêm đồ mà mãi không thấy mang lên. Được cái đồ ăn cứu vớt lại khá ngon.",5,2025-06-08T14:24:46.623Z,user_86377,9,0
Hải sản Hùng Trường Sa,ChZDSUhNMG9nS0VNZlNzNDdzMnFXRllREAE,"Không gian rộng rãi , tầng 4 ngồi cực chill , nhân viên xinh gái , có mấy e vếu rất to",5,2025-06-05T12:55:31.087Z,user_53794,86,0
Hải sản Hùng Trường Sa,ChZDSUhNMG9nS0VQZkl3OFNSeF8zc0F3EAE,"Hôm nay, mình ""lượn"" qua một nhà hàng hải sản mà phải nói là nhìn cái mặt tiền đã thấy sang trọng rồi! So với mấy quán hải sản kiểu ""bình dân"" khác thì em nó đúng là ""một chín một mười"" về khoản decor. Bước vào trong thì ôi thôi, không gian rộng thênh thang, tha hồ mà ""nhảy nhót"" hay tổ chức tiệc tùng.

Về đồ ăn, quán phục vụ theo set nên cứ gọi là ""ngập mặt"" hải sản, ăn no căng rốn, thở không nổi luôn. Vị thì vừa phải, dễ ăn, không quá đậm đà nhưng cũng không nhạt nhẽo. Ai mà ""ăn khỏe"" thì đây đúng là ""chân ái"" rồi! Mà cái giá cả thì mình thấy rất hợp lý cho một bữa hải sản ""toàn tập"" như vậy.

Tuy nhiên, ""điểm gợn"" ở đây chính là... đội ngũ phục vụ! Mình phải dùng từ là ""củ chuối chấm muối"" cho nó đúng điệu. Kiểu như ""Hà Nội không vội được đâu anh ei""!  Có lẽ, các bạn nhân viên ở đây đang theo chủ nghĩa ""sống chậm"" chăng? Đồ ăn ra chậm đã đành, đến lúc gọi thêm thứ gì đó thì cứ như ""mòn mỏi chờ đợi người yêu cũ quay về"" vậy. Xong rồi đôi khi còn thấy hơi ""lạc trôi"" giữa không gian rộng lớn, không biết phải phản ứng sao cho phải phép. Thôi thì cũng thông cảm, chắc các bạn ấy đang bận ""chìm đắm trong suy tư"" về cuộc đời, hay đang ""tập thiền"" để giữ bình tĩnh trước áp lực công việc chẳng hạn? 😂

Nói chung, nếu bạn là một ""tín đồ"" của hải sản và không quá ""khó tính"" với chuyện phục vụ thì đây vẫn là một lựa chọn đáng để thử. Cứ coi như đi ăn hải sản xong còn được bonus thêm màn ""nghệ thuật sắp đặt"" của các bạn nhân viên vậy!",4,2025-06-05T07:19:53.600Z,user_64998,93,0
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT2tWd2JWTlVValo2T0ZCRmRHdzNNVTVOV1dKRFZFRRAB,"Không gian quán rộng rãi thoáng mát, view chụp ảnh khá đẹp. Món ăn lên nhanh nhưng sườn hơi dai một tí.",5,2025-09-08T12:58:02.279Z,user_73220,49,0
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT21KM2VuaGtkV0p0V1hnMWNXbHlZVXQzY1dRMVVXYxAB,Tệ! Không bb quay lại,1,2025-09-02T05:33:41.622Z,user_96858,27,1
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT2tWalJEUndSVlZaYWt4Q2FVZG5WWEpxWmxoTWQyYxAB,"Ăn buffet ở đây khá hời, nhiều món lựa chọn, hải sản tươi. Sẽ giới thiệu cho bạn bè.",5,2025-08-29T14:58:42.420Z,user_70171,81,0
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT21sMFRrdzJXRmQzVWxOWFNrNUxja2RhVEdwV2FYYxAB,"Đồ ăn ngon, nhân viên phục vụ chu đáo nhiệt tình. Điểm trừ là cuối tuần hơi đông nên phải chờ bàn hơi lâu.",1,2025-08-19T14:41:30.034Z,user_41638,21,1
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT2xKeWFrMHRTbVp6VFV3MU9HcFBPSFp1VjBWZk1WRRAB,"Thái độ nhân viên hơi kém, gọi thêm đồ mà mãi không thấy mang lên. Được cái đồ ăn cứu vớt lại khá ngon.",5,2025-08-07T11:19:16.353Z,user_10799,91,1
King Bbq Buffet,Ci9DQUlRQUNvZENodHljRjlvT2pkM1lUY3RTR3R5ZUVGWVZETTJaM05qUVRjeFMyYxAB,"Quán sạch sẽ đồ ăn ngon, shipper giao nhanh nhiệt tình, đóng gói rất kỹ, 10 điểm uy tín cả nhà ơi.",5,2025-08-07T11:17:52.983Z,user_clone_94636,2,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xBNFZFTnFkMWcxWlZsa1dXVkpYMXA2V0VWV2JrRRAB,"Ăn buffet ở đây khá hời, nhiều món lựa chọn, hải sản tươi. Sẽ giới thiệu cho bạn bè.",4,2026-05-30T07:07:30.397Z,user_63888,114,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT20xUVZFbDJaMDVaVmxaZlJHVnlkalJKZVc0dFVGRRAB,"Quán ăn ngon, đóng gói sạch sẽ cẩn thận, shipper giao nhanh, mọi người nên mua nha!!",5,2026-05-26T14:45:55.598Z,user_clone_50691,2,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xsRk0wVTJRakZrVkVaVlVsOVJSemx2TFVoYVpWRRAB,nên trải nghiệm,5,2026-05-23T23:59:10.169Z,user_clone_17211,2,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2pWeU5VRnBaMDVIY2pCRFlXMWpNVmQxWkdWSWFYYxAB,"Nhân viên thái độ, không gian không được sạch sẽ, bát đũa mới cảm giác vẫn còn dầu mỡ chưa sạch, đồ ăn nguội",1,2026-05-17T13:39:31.135Z,user_99173,88,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xwQk5WUldOMUpXTVc5b2VTMWpZamRIU1VnNFFYYxAB,"Vị ăn tạm ổn, không có gì quá xuất sắc nhưng sạch sẽ. Sẽ quay lại nếu có dịp đi cùng gia đình.",1,2026-05-16T12:32:34.273Z,user_10564,21,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT25RM2RFVlZkemRUY2pCcWNHeHFNR05CUkRKdlpHYxAB,"Đồ ăn ngon, nhân viên phục vụ chu đáo nhiệt tình. Điểm trừ là cuối tuần hơi đông nên phải chờ bàn hơi lâu.",1,2026-05-15T16:22:34.965Z,user_85616,114,1
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2taemRsbDVURmhyV0hCSU1WWllNMjFJY1ZKeVEyYxAB,"Mình đã ăn ở Bay Tông Đản nhiều lần nhưng thực sự hôm nay khó chịu vô cùng, nhà hàng buffet thì k tránh được những nhóm khách đông hoặc các lớp học sinh liên hoan nhưng việc nhà hàng để các bạn hát hò ầm ĩ trong không gian chung làm ảnh hưởng các khách hàng khác ( trong đó có mình) thì mình cảm thấy vô cùng không hài lòng. Sau lần này, mình và bạn bè cũng sẽ phải cân nhắc có nên quay lại đây hay không !",2,2026-05-15T14:06:10.240Z,user_53863,118,1
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2pCSlFYRk1ablF3WTB0eWRFdE9aVGROTTJzeVRXYxAB,"Vị ăn tạm ổn, không có gì quá xuất sắc nhưng sạch sẽ. Sẽ quay lại nếu có dịp đi cùng gia đình.",1,2026-05-11T14:06:14.203Z,user_28830,96,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xWcE1TMTRWekZ2TUVOeFJGaG1Sek0xVm5KdGNFRRAB,"Khá ngon, đồ đa dạng, quán rộng phù hợp đi với gia đình",5,2026-05-10T00:09:47.465Z,user_93623,76,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2s1a1YyeDFOMVJJWlhnMldub3lZVWRGV1cxQldIYxAB,"1 năm rồi mình mới quay lại Bay ăn nhưng cảm thấy đồ ăn và dịch vụ ở đây đi xuống khá nhiều , lượng khách giảm hẳn , vì quán đón đoàn khách du lịch nhiều nên ko khí ở đấy ko khác j cái chợ . Mới khoảng 8h kém vẫn còn đông khách nhưng đồ ăn hết ko được fill cho đầy, nhiều món còn hết trắng trơn như hình mình chụp. Các món ko đa dạng và chế biến bị nhạt nhẽo, ăn bát tàu phớ nhạt thếch ra ko có tí nước đường nào . Mong quán đọc đc phản ánh này mà thay đổi !!!",2,2026-05-09T14:58:09.988Z,user_20786,8,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2tsc1IyaE9jMnBEVkdWQk4yZ3lNRVJTWVUxdmNuYxAB,"Tối nay tôi đến Bay Buffet lúc khoảng 7h50, vẫn còn trong giờ phục vụ buffet nhưng nhiều món đã gần như hết và không được bổ sung đầy đủ. Dù vậy, nhà hàng vẫn tiếp tục nhận khách với mức giá bình thường.

Đi buffet, khách hàng mong được trải nghiệm đầy đủ các món như quảng cáo, nhưng hôm nay nhiều món nóng, hải sản và tráng miệng chỉ còn rất ít hoặc đã hết. Nhân viên có bổ sung nhưng khá chậm, khiến trải nghiệm không được như mong đợi.",1,2026-05-07T14:35:04.397Z,user_51957,80,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT21sdk1uSTVUUzFDYkVFelFrSTVSWFpEUWkxSWNGRRAB,"Tối nay ngày 07/05/2026 tôi có trải nghiệm không tốt tại Bay Buffet. Tôi đến ăn lúc khoảng 7h50 tối, tức vẫn còn trong khung giờ phục vụ buffet, nhưng nhiều món ăn đã gần như hết sạch, quầy đồ không được bổ sung đầy đủ nữa. Điều khiến tôi thất vọng là dù tình trạng đồ ăn đã không còn nhiều, nhà hàng vẫn tiếp tục nhận khách vào dùng buffet với mức giá như bình thường.Tôi chỉ ngồi được 30’ phải đứng lên đi về.
Khi đi buffet, điều khách hàng mong đợi là được trải nghiệm đầy đủ các món ăn như nhà hàng quảng cáo. Tuy nhiên hôm nay nhiều món nóng, hải sản và đồ tráng miệng đã hết hoặc chỉ còn lại rất ít. Nhân viên có bổ sung nhưng khá chậm và không đáng kể. Cảm giác giống như khách đến muộn phải dùng “phần còn lại”, trong khi không hề được thông báo trước về tình trạng món ăn",1,2026-05-07T14:30:31.336Z,user_85589,55,1
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xJelVIVkZOR1EzT0hsdVVqZG1aSFJHTURZM2VtYxAB,"Hải sản cua ghẹ, tôm ăn bình thường, óp ép toàn nước. Được bánh bao vàng ăn ngon, bánh bao xanh ăn ngọt. Đồ ăn mức vừa phải, không quá nhiều",3,2026-05-04T13:30:19.623Z,user_50797,79,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT25WNWFsZGxhMWxMVVVReVVtSjZhalZNZVdJM1VHYxAB,Đồ ăn khá ngon,4,2026-05-03T07:27:36.607Z,user_57380,115,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2xSamVrSkdUMDlhY0ZsbVpYVlFkVmd4WjJ4WVVHYxAB,"Chúng tôi thường ăn ở đây ít nhất một tháng một lần,hải sản tươi ngon ,nhân viên phục vụ thân thiện ,không gian thoáng đãng",5,2026-05-01T17:51:10.006Z,user_43967,14,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT21KWlJVWlJVbDkwV2toalFWcGhUVk4zVlRWalgwRRAB,"Giao hàng nhanh shipper thân thiện, đồ ăn ngon rẻ sạch sẽ đóng gói kỹ, nên mua nha cả nhà!",5,2026-04-30T03:10:41.245Z,user_clone_75269,2,0
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2pBNE1XczFTVmN5ZW1kR1FrWkJkR2h3V0UxTk5YYxAB,"Đặt bàn trước nên không phải đợi, tuy nhiên chất lượng đồ ăn khá tệ, cua và ghẹ đều óp, không chất lượng. Các đồ ăn còn lại ở mức trung bình, không đặc sắc. Có ngày đồ ăn ổn, có ngày lại chán. Mong nhà hàng duy trì chất lượng tốt hơn",3,2026-04-29T14:22:52.696Z,user_72895,50,1
Bay Seafood Buffet Hồ Gươm - 14 Tông Đản,Ci9DQUlRQUNvZENodHljRjlvT2tFMVpuWjZiRzk0UmxWSFNXMHlkMlZEZVZndFIwRRAB,"Thái độ nhân viên phục vụ ko niềm nở, từ quản lý đến nv trả lời khách ko có kính ngữ. Các món hải sản chính lên chậm.",3,2026-04-27T06:13:32.138Z,user_87838,11,1
